user_id,place_id,rating
0,50,3
0,24,4
0,11,3
0,16,2
0,34,2
0,39,3
0,48,1
0,22,4
0,42,2
0,47,4
0,32,4
0,37,2
0,7,1
0,57,2
0,27,2
1,40,4
1,59,3
1,46,4
1,43,2
1,50,1
1,25,3
1,34,4
1,20,1
1,55,2
1,41,4
1,54,2
1,28,2
1,51,2
1,2,2
1,17,2
2,36,3
2,3,5
2,32,4
2,56,3
2,20,4
2,58,2
2,26,2
2,18,4
2,9,2
2,35,3
2,31,3
2,23,2
2,12,2
2,7,3
2,13,5
3,44,2
3,45,1
3,22,4
3,6,4
3,33,2
3,49,3
3,25,1
3,43,2
3,3,5
3,48,1
3,8,3
3,35,2
3,24,5
3,47,4
3,58,2
4,58,3
4,37,3
4,8,3
4,18,2
4,13,5
4,30,2
4,33,1
4,16,3
4,5,2
4,56,2
4,53,3
4,35,3
4,39,1
4,55,1
4,27,2
5,16,2
5,20,2
5,44,2
5,2,2
5,36,2
5,49,2
5,39,4
5,27,4
5,45,2
5,5,3
5,50,1
5,56,1
5,53,1
5,24,2
5,13,2
6,41,3
6,22,4
6,39,4
6,31,4
6,59,2
6,10,1
6,55,3
6,38,2
6,23,2
6,6,4
6,43,2
6,2,2
6,28,4
6,32,4
6,54,4
7,24,2
7,34,2
7,23,1
7,50,3
7,26,3
7,8,1
7,13,2
7,27,2
7,53,3
7,56,3
7,55,4
7,29,2
7,19,4
7,33,4
7,40,4
8,32,2
8,15,3
8,45,4
8,7,2
8,26,4
8,21,2
8,28,3
8,25,1
8,19,4
8,9,1
8,31,1
8,51,5
8,27,3
8,41,2
8,52,3
9,38,5
9,42,1
9,23,1
9,22,3
9,59,2
9,8,3
9,3,2
9,57,3
9,40,2
9,46,2
9,52,3
9,16,4
9,49,1
9,53,2
9,44,2
10,55,5
10,4,2
10,23,3
10,28,2
10,48,2
10,36,2
10,47,1
10,37,3
10,8,1
10,0,2
10,49,2
10,33,4
10,14,2
10,25,3
10,13,2
11,20,2
11,32,1
11,42,2
11,9,3
11,21,1
11,7,1
11,40,4
11,31,3
11,0,3
11,15,2
11,22,3
11,30,3
11,38,1
11,58,4
11,55,2
12,33,4
12,45,3
12,4,2
12,55,4
12,54,4
12,40,3
12,53,2
12,11,4
12,56,2
12,30,2
12,3,4
12,26,2
12,14,2
12,20,5
12,15,1
13,11,2
13,16,2
13,40,1
13,58,2
13,6,2
13,50,5
13,51,4
13,30,3
13,44,1
13,23,5
13,31,2
13,14,1
13,21,4
13,36,3
13,15,4
14,17,2
14,30,2
14,31,4
14,54,4
14,45,5
14,49,2
14,25,3
14,20,4
14,47,4
14,23,2
14,59,2
14,57,3
14,12,2
14,13,4
14,51,4
15,52,2
15,2,2
15,3,5
15,46,2
15,15,5
15,30,1
15,13,4
15,36,2
15,14,1
15,44,1
15,31,5
15,26,2
15,1,1
15,5,2
15,56,3
16,27,1
16,59,3
16,37,5
16,56,1
16,12,3
16,50,4
16,49,3
16,2,3
16,41,2
16,57,2
16,32,1
16,11,2
16,39,2
16,26,4
16,16,3
17,30,3
17,43,5
17,3,3
17,7,2
17,35,3
17,12,2
17,29,2
17,17,1
17,16,2
17,56,2
17,24,1
17,45,4
17,33,4
17,40,3
17,6,3
18,27,4
18,8,1
18,4,4
18,43,2
18,40,3
18,32,3
18,35,2
18,25,1
18,26,2
18,42,2
18,15,2
18,2,2
18,9,2
18,7,2
18,20,2
19,40,3
19,38,1
19,51,2
19,30,3
19,9,1
19,53,2
19,14,2
19,23,1
19,19,2
19,34,3
19,54,5
19,18,2
19,7,3
19,11,4
19,59,3
20,33,1
20,32,3
20,50,2
20,28,4
20,29,2
20,20,2
20,0,1
20,4,2
20,14,4
20,21,2
20,53,2
20,57,1
20,27,2
20,49,2
20,16,3
21,56,2
21,34,4
21,45,2
21,5,4
21,40,3
21,11,4
21,57,4
21,38,2
21,14,1
21,15,2
21,55,2
21,20,2
21,50,3
21,6,4
21,48,5
22,10,4
22,18,4
22,33,4
22,43,4
22,14,3
22,52,4
22,35,2
22,8,2
22,12,2
22,9,2
22,22,2
22,32,3
22,25,3
22,4,2
22,3,2
23,42,4
23,52,4
23,0,1
23,12,2
23,4,3
23,1,2
23,9,3
23,49,2
23,18,4
23,7,3
23,8,2
23,35,1
23,6,2
23,19,4
23,27,1
24,8,2
24,2,2
24,57,2
24,51,2
24,19,1
24,40,4
24,38,2
24,56,2
24,27,3
24,22,3
24,54,3
24,42,3
24,34,2
24,6,2
24,39,2
25,16,4
25,21,1
25,26,1
25,22,1
25,7,4
25,23,2
25,43,2
25,9,2
25,38,4
25,33,2
25,15,2
25,18,2
25,20,1
25,34,2
25,25,1
26,47,2
26,2,1
26,15,2
26,25,2
26,22,1
26,40,4
26,57,1
26,56,2
26,36,2
26,29,3
26,30,1
26,34,3
26,51,4
26,20,4
26,1,4
27,26,2
27,40,3
27,44,4
27,19,2
27,9,5
27,47,2
27,20,2
27,18,2
27,14,4
27,0,2
27,30,2
27,13,1
27,32,1
27,2,5
27,10,2
28,5,1
28,1,4
28,52,3
28,39,3
28,53,5
28,38,2
28,13,1
28,28,2
28,56,2
28,32,2
28,50,3
28,31,2
28,42,2
28,0,1
28,7,2
29,4,4
29,8,2
29,39,4
29,51,3
29,9,1
29,3,1
29,37,2
29,18,2
29,20,2
29,44,4
29,17,2
29,33,3
29,52,3
29,56,2
29,1,5
30,49,2
30,28,1
30,51,3
30,21,2
30,9,1
30,44,2
30,10,3
30,25,2
30,50,4
30,8,2
30,53,2
30,35,1
30,19,5
30,13,2
30,48,5
31,41,1
31,28,1
31,5,2
31,54,2
31,39,2
31,46,2
31,49,4
31,9,4
31,44,1
31,10,3
31,29,2
31,0,3
31,33,2
31,48,2
31,27,2
32,6,4
32,5,3
32,55,2
32,45,2
32,51,2
32,41,4
32,31,5
32,30,5
32,46,5
32,40,3
32,20,1
32,22,5
32,2,2
32,10,3
32,8,2
33,17,2
33,44,2
33,26,2
33,59,4
33,37,2
33,24,1
33,58,2
33,53,5
33,42,2
33,21,5
33,31,3
33,35,2
33,19,2
33,14,2
33,39,2
34,57,3
34,45,4
34,37,5
34,3,1
34,26,2
34,42,4
34,12,1
34,7,2
34,1,1
34,34,5
34,27,5
34,11,2
34,16,1
34,0,4
34,56,3
35,15,4
35,43,3
35,5,2
35,58,1
35,19,2
35,38,2
35,17,1
35,6,4
35,41,3
35,50,2
35,39,2
35,11,5
35,51,2
35,3,5
35,1,4
36,54,2
36,17,4
36,11,2
36,20,2
36,36,4
36,41,2
36,27,3
36,19,1
36,25,5
36,1,2
36,6,2
36,32,1
36,2,5
36,52,3
36,10,3
37,48,3
37,57,1
37,44,2
37,30,1
37,29,2
37,40,3
37,6,4
37,53,4
37,16,1
37,47,5
37,22,5
37,42,2
37,31,5
37,56,1
37,17,3
38,9,5
38,36,2
38,49,4
38,35,2
38,28,2
38,42,3
38,7,2
38,2,1
38,11,2
38,18,3
38,29,5
38,48,5
38,14,2
38,30,4
38,46,4
39,24,4
39,53,2
39,29,2
39,1,2
39,57,2
39,54,2
39,25,3
39,50,2
39,51,3
39,27,2
39,47,3
39,14,4
39,5,3
39,22,2
39,59,1
40,58,2
40,32,2
40,50,2
40,36,4
40,19,2
40,27,2
40,16,5
40,24,3
40,7,4
40,11,2
40,22,2
40,2,4
40,59,4
40,23,4
40,40,2
41,54,2
41,20,2
41,15,5
41,10,1
41,22,1
41,49,4
41,24,2
41,11,3
41,42,2
41,45,1
41,13,1
41,5,1
