place_id,name,province,category,kind,cost_npr,lat,lng,elevation_m
4158622990,Barchet Bomotang -1,Bagmati,hiking,viewpoint,0,28.005851,85.105925,
4243026503,Barudkhana,Bagmati,hiking,viewpoint,0,27.682569,85.410312,
4144009690,Bojepokhari,Bagmati,hiking,viewpoint,0,27.66485,85.348731,
4158627593,Bomotang 'Potere Bann'(jungal),Bagmati,hiking,viewpoint,0,27.996939,85.097747,
4243017315,Chandika house,Bagmati,hiking,viewpoint,0,27.628242,85.520743,
9054229743,Chulevir Viewpoint,Bagmati,hiking,viewpoint,0,27.933305,84.668036,
4243030036,Dandipakha,Bagmati,hiking,viewpoint,0,27.682023,85.408941,
9557617018,Dhulikhel Zipline,Bagmati,hiking,viewpoint,0,27.62491,85.575136,
3477345600,Dhungsel Jharna,Bagmati,hiking,waterfall,100,28.180129,85.13542,
13724324901,Fung Funge Jharana,Bagmati,hiking,waterfall,100,27.829179,85.220192,
10833741289,Gam Dhoka Park,Bagmati,hiking,viewpoint,0,27.717063,85.426139,
3616498898,Ganga Jamuna,Bagmati,hiking,waterfall,100,28.088385,84.914829,
4214721489,Ghale Bhanjyang,Bagmati,hiking,viewpoint,0,27.884563,85.334354,
4115481689,Gurje Bhanjyang(गुर्जे),Bagmati,hiking,viewpoint,0,27.813554,85.315592,
5565961322,Halkhoria,Bagmati,hiking,viewpoint,0,27.202151,85.080812,
10564467432,Jharana,Bagmati,hiking,waterfall,100,27.532911,84.853262,
4424529690,Kakani View Point,Bagmati,hiking,viewpoint,0,27.813925,85.269628,
11704284575,Latarameshwor Mahadev,Bagmati,hiking,viewpoint,0,27.470198,85.220861,
4158627594,Lungpacget 'Shyong '(River ),Bagmati,hiking,viewpoint,0,27.99028,85.095096,
11189720237,Mohini Waterfall,Bagmati,hiking,waterfall,100,27.602839,85.145931,
6021110385,Noesagang,Bagmati,hiking,viewpoint,0,28.162106,85.385964,
4158627693,Nuwakot Districts,Bagmati,hiking,viewpoint,0,27.911241,85.144148,
10105843123,Nyauli Waterfall,Bagmati,hiking,waterfall,100,28.192275,84.872385,
2365593755,Pharping View Point,Bagmati,hiking,viewpoint,0,27.612382,85.28809,
4158627595,Ralu,Bagmati,hiking,viewpoint,0,27.981619,85.095424,
4235620291,Rames,Bagmati,hiking,viewpoint,0,27.674967,85.387072,
4243029634,Shakhal Basti,Bagmati,hiking,viewpoint,0,27.678179,85.407476,
4127963199,Shree Ram Pati,Bagmati,hiking,viewpoint,0,27.634107,85.637473,
5602334821,Star Banquet and Party Palace,Bagmati,hiking,viewpoint,0,27.716559,85.32585,
4213646591,Surya Chaur,Bagmati,hiking,viewpoint,0,27.823206,85.31057,
1932766564,Viewpoint from Deurali Pass,Bagmati,hiking,viewpoint,0,27.581743,86.33016,
10046814462,Viewtower,Bagmati,hiking,viewpoint,0,28.109259,85.344093,
4158627692,Wati bley,Bagmati,hiking,viewpoint,0,27.989867,85.097635,
2041489293,White house,Bagmati,hiking,viewpoint,0,27.65163,85.268679,
4208482893,bakenswara,Bagmati,hiking,viewpoint,0,27.960445,84.675176,
4340567491,bhaudhoka,Bagmati,hiking,viewpoint,0,27.728102,85.461694,
4348451709,chhyabasti,Bagmati,hiking,viewpoint,0,27.717294,85.468359,
13518656001,overhanging deck viewpoint of Kathmandu valley & Himalayas,Bagmati,hiking,viewpoint,0,27.65456,85.229,
4305409889,pokharidanda,Bagmati,hiking,viewpoint,0,27.962101,84.675715,
4157626091,ram kumar family's house,Bagmati,hiking,viewpoint,0,27.633256,85.320081,
4292367994,salinadi hydropower,Bagmati,hiking,viewpoint,0,27.747817,85.481129,
6938699285,धण्टा-धर,Bagmati,hiking,viewpoint,0,27.707467,85.316843,
6795495985,मजुवा फाँट,Bagmati,hiking,viewpoint,0,27.901421,85.084407,
1966018536,रानीबन,Bagmati,hiking,viewpoint,0,27.745211,85.26688,
4590416991,सुशानको घर,Bagmati,hiking,viewpoint,0,27.646152,85.357361,
1842725717,Art Of Living Centre,Bagmati,historic,monument,150,27.690037,85.334439,
1945544350,Arun Thapa Chok,Bagmati,historic,monument,150,27.680859,85.310293,
2905131436,Bag Khor,Bagmati,historic,monument,150,27.676808,86.075883,
2905131437,Bag Khor,Bagmati,historic,monument,150,27.681419,86.069295,
2218533779,Bedakopari Chaitya,Bagmati,historic,monument,150,27.671863,85.332345,
3577277381,Bhanu Bhakta Statue,Bagmati,historic,monument,150,27.707872,85.314271,
2901364742,Bhimsen Dobar,Bagmati,historic,monument,150,27.677538,86.075669,
1974298499,Bichari Pati,Bagmati,historic,monument,150,27.59478,85.520247,
3877763908,Big Bell,Bagmati,historic,monument,150,27.722015,85.36213,
2019707026,Birendra Batika,Bagmati,historic,monument,150,27.74341,85.333272,
11934802170,Brass & Bronze Museum,Bagmati,historic,museum,300,27.673721,85.435587,
10959561216,Buddha Akshobya,Bagmati,historic,monument,150,27.7155,85.290347,
575610468,Buddha Chok,Bagmati,historic,monument,150,27.430993,85.031931,
2202917311,Buddha Pokhari,Bagmati,historic,monument,150,27.612097,85.319996,
4401481355,Bungamati Museum,Bagmati,historic,museum,300,27.628867,85.302443,
10224826020,Cattle Shed Ruins,Bagmati,historic,monument,150,28.216079,85.592098,
2901364744,Chakra Dobar,Bagmati,historic,monument,150,27.675879,86.073491,
6499243432,Changu Museum,Bagmati,historic,museum,300,27.716517,85.429241,
10564423310,Chepang Museuw,Bagmati,historic,museum,300,27.547635,84.844299,
4321058000,Chhauni,Bagmati,historic,monument,150,27.646121,85.357138,
2084372303,Chunni Devi,Bagmati,historic,monument,150,27.719253,85.33082,
2066253623,DUBAR SQUARE PATAN,Bagmati,historic,monument,150,27.673148,85.324795,
9871425646,Dabu (Dance Platform),Bagmati,historic,monument,150,27.672117,85.427766,
2230601510,Depressed stone icon,Bagmati,historic,monument,150,27.673806,85.325749,
2218533761,Dhanya Rasya Kriti Chaitya,Bagmati,historic,monument,150,27.671327,85.332541,
2097740384,Garuda Statue,Bagmati,historic,monument,150,27.673598,85.325062,
5617218438,Ghale Raja Palace,Bagmati,historic,monument,150,28.177899,85.301668,
4071313801,Ghataraj Salik Chok,Bagmati,historic,monument,150,27.732227,85.359412,
7765273342,Gopi Maharjan Saalik,Bagmati,historic,monument,150,27.702275,85.304191,
4533176868,Hyumat,Bagmati,historic,monument,150,27.699409,85.303957,
1783303872,Jyapu samaj,Bagmati,historic,museum,300,27.6737,85.331953,
2071315788,Kanti Rajya Laxmi Devi Shah,Bagmati,historic,monument,150,27.73253,85.328416,
1962909336,Keshar Mahal,Bagmati,historic,monument,150,27.714698,85.314299,
1966285198,King Tribhuvan Statue,Bagmati,historic,monument,150,27.693798,85.314136,
2097740385,King Yog Narendra Malla Column,Bagmati,historic,monument,150,27.673293,85.325017,
2905131444,Kirat Stambha,Bagmati,historic,monument,150,27.677351,86.075169,
2195513966,Kobha Pukhu,Bagmati,historic,monument,150,27.6313,85.521965,
10005589867,LHO HITI:,Bagmati,historic,monument,150,27.63297,85.493307,
4208543591,Lakhan Thapa,Bagmati,historic,monument,150,27.94804,84.67664,
2202902560,Late Laxmi Prasad Devkota,Bagmati,historic,monument,150,27.680788,85.283297,
1942507475,Lion statue,Bagmati,historic,monument,150,27.672104,85.42898,
9655535677,Lyaku Museum,Bagmati,historic,museum,300,27.679414,85.275236,
3307485463,Maka dya,Bagmati,historic,monument,150,27.678172,85.278086,
984624859,Mani wall,Bagmati,historic,monument,150,28.216379,85.513636,
9725866768,Manjushree,Bagmati,historic,monument,150,27.661114,85.293663,
4208420190,Mars,Bagmati,historic,monument,150,27.693062,85.340915,
9756720714,Martyrs Memorial,Bagmati,historic,monument,150,27.677599,85.27524,
10046401406,Memorial,Bagmati,historic,monument,150,28.132771,85.353742,
10057772854,Memorial for Mr. Mindul Tamang,Bagmati,historic,monument,150,28.091791,85.381694,
1317084932,Milan Chok Stop,Bagmati,historic,monument,150,27.695048,85.340662,
4280992095,My Nana's Home,Bagmati,historic,monument,150,27.071673,85.083033,
2164874168,Narayanhiti Palace Museum,Bagmati,historic,museum,300,27.714896,85.318103,
2901364786,Nashwar Dobar,Bagmati,historic,monument,150,27.676837,86.076349,
2224398921,Obelsiks at Jhyatapole,Bagmati,historic,monument,150,27.675714,85.325041,
3498367331,Old Dharahara Remains,Bagmati,historic,monument,150,27.700609,85.311869,
1420156237,Panauti Museum,Bagmati,historic,museum,300,27.585009,85.517131,
3074580748,Pashupati Bhandareshore,Bagmati,historic,monument,150,27.712285,85.338813,
2901364790,Pingal Dobar,Bagmati,historic,monument,150,27.676496,86.07536,
2905131449,Pukhurcha Pahara,Bagmati,historic,monument,150,27.678497,86.073737,
4345059191,Punya Chetra,Bagmati,historic,monument,150,27.46275,84.996231,
5158778300,Ramkot Durbar,Bagmati,historic,monument,150,27.912055,84.858259,
2128612807,Respected Martyars Sukra Raj Sastri,Bagmati,historic,monument,150,27.683442,85.318815,
1875597201,Royal Mahendra Museum,Bagmati,historic,museum,300,27.704121,85.307762,
2194109114,Rudrabarna Mahabihar,Bagmati,historic,monument,150,27.668222,85.327232,
2905131451,Saharpadeu-Sarachiya Lunga,Bagmati,historic,monument,150,27.678669,86.072622,
2166426558,Sahid Sukraraj Brikshya,Bagmati,historic,monument,150,27.696267,85.307036,
3307481394,Sankhadhar saalik,Bagmati,historic,monument,150,27.679041,85.27647,
2977157106,Shahid Smarak,Bagmati,historic,monument,150,27.442605,84.999467,
1919864427,Shalik,Bagmati,historic,monument,150,27.669998,85.281284,
3294328568,Shankhardhar Shakwa,Bagmati,historic,monument,150,27.6759,85.280176,
2084372330,Siddhi Ganesh,Bagmati,historic,monument,150,27.71924,85.330858,
11058074676,Simulation Science Center,Bagmati,historic,museum,300,27.667842,85.28649,
2097690553,Statue of Ganesh,Bagmati,historic,monument,150,27.672787,85.325013,
2097690554,Statue of Ganga,Bagmati,historic,monument,150,27.672921,85.325137,
2097690555,Statue of Hanuman,Bagmati,historic,monument,150,27.672743,85.325,
2097690556,Statue of Jamuna,Bagmati,historic,monument,150,27.6729,85.325229,
2097690557,Statue of Narsingha,Bagmati,historic,monument,150,27.672833,85.325025,
2060240290,Statue of Sleeping Narayan,Bagmati,historic,monument,150,27.6766,85.431298,
11345538456,Stefan Sluka,Bagmati,historic,monument,150,28.442318,85.776102,
1143907504,Sukedhara Tap,Bagmati,historic,monument,150,27.727384,85.345303,
2905131452,Sundhara,Bagmati,historic,monument,150,27.67737,86.075196,
2194086510,Sundhara stone spout,Bagmati,historic,monument,150,27.669694,85.328082,
2224398919,Swotha Jhya,Bagmati,historic,monument,150,27.675108,85.3255,
2901365404,Tasicha Dobar,Bagmati,historic,monument,150,27.676715,86.074951,
4208543689,Thani Mai,Bagmati,historic,monument,150,27.958479,84.675081,
567142203,Tharu Cultural Museum,Bagmati,historic,museum,300,27.581435,84.508493,
567142207,Tharu Cultural Museum,Bagmati,historic,museum,300,27.582372,84.507543,
2852782177,The City Museum Kathmandu,Bagmati,historic,museum,300,27.711014,85.318259,
4104754291,Triveni Ghat (त्रिवेणी घाट),Bagmati,historic,monument,150,27.861742,85.326869,
1801257243,"chapache sana guthi,chabahal",Bagmati,historic,monument,150,27.676683,85.319467,
1417964988,lamo patti,Bagmati,historic,monument,150,27.585486,85.514796,
3189982098,nktpa,Bagmati,historic,monument,150,27.727404,85.365344,
2054092038,कैलाशनाथ महादेव मूर्ति / Kailashnath Mahadev Statue,Bagmati,historic,monument,150,27.646144,85.474109,
3307488696,ख्यली दाया,Bagmati,historic,monument,150,27.67987,85.27489,
4115481889,त्रिवेणी घाट,Bagmati,historic,monument,150,27.861739,85.326902,
11201472668,पृथ्वीनारायण शाह,Bagmati,historic,monument,150,27.610265,85.56795,
11197512002,बलभद्र कुँवर,Bagmati,historic,monument,150,27.608895,85.56555,
4215259889,राईगाउँ सहीदगेट,Bagmati,historic,monument,150,27.214247,85.486868,
4476159389,विद्यागणेश,Bagmati,historic,monument,150,27.681793,85.386511,
3489694998,शंखधर शाख्वा,Bagmati,historic,monument,150,27.673487,85.385278,
4218539989,हातीढुङ्गा(Hattidhunga),Bagmati,historic,monument,150,27.219464,85.481711,
13011561359,Ancient Banjahity Stone Tap,Bagmati,popular,attraction,200,27.705537,85.305516,
4340563298,Barpipal,Bagmati,popular,attraction,200,27.632709,85.389419,
12291429901,Bhajyu Pukhu,Bagmati,popular,attraction,200,27.670594,85.420929,
7418881885,Bhitiharwa (Champaran) Gandhi Ashram,Bagmati,popular,attraction,200,27.238714,84.489463,
6313767447,Budhanikantha entry gate,Bagmati,popular,attraction,200,27.776884,85.362218,
13245331601,Cani Gate,Bagmati,popular,attraction,200,28.489445,85.041292,
11397080162,Canoe Tours departure,Bagmati,popular,attraction,200,27.575064,84.492439,
8009598335,Changunarayan,Bagmati,popular,attraction,200,27.716226,85.428356,
4104680094,Chanpako Bot (चाँपाबोट),Bagmati,popular,attraction,200,27.839015,85.314402,
4115482189,Chanpko Bot(चाँपाबोट ),Bagmati,popular,attraction,200,27.839014,85.314421,
5639050621,Cheese Factory,Bagmati,popular,attraction,200,28.110797,85.339583,
4352711189,Chilime Hydropower Plant headworks,Bagmati,popular,attraction,200,28.181217,85.305615,
5803936554,City motorbike,Bagmati,popular,attraction,200,27.711856,85.309867,
4285982489,Club Galaxy,Bagmati,popular,attraction,200,27.691228,85.277848,
12288007901,Cremation Site,Bagmati,popular,attraction,200,27.668279,85.430726,
